       CRIM          ZN       INDUS       CHAS         NOX           RM          AGE           DIS        RAD         TAX     PTRATIO            B        LSTAT         MEDV
-0.414778     0.928623   -1.30688    -0.272599  -0.714347    0.804028     0.0613455   -0.291089     -0.293081  -1.10612    -0.0256767   0.441052    -0.718119     0.616803
-0.417558     1.87285    -1.07342    -0.272599  -0.610687    0.586056    -0.432946     0.920817     -0.523001  -0.227101   -0.395567    0.441052    -0.76718      0.148802
-0.393837    -0.487722   -0.616727   -0.272599  -0.921667   -0.362767     0.601866     0.900519     -0.752922  -1.04078    -0.256858    0.39544      0.861639    -0.645712
-0.413781     0.0487722  -0.73929    -0.272599  -1.25856    -0.579315    -1.67757      1.2849       -0.637962  -0.375583    0.205505    0.433487    -0.63822     -0.0579893
 0.00752893  -0.487722    1.016      -0.272599   1.85988    -1.31444      0.982364    -0.80406       1.66125    1.53093     0.806576    0.264416    -0.345257    -0.188594
-0.351851    -0.487722    1.569      -0.272599   0.598679    0.124466     1.04282     -0.697672     -0.637962   0.170831    1.26894     0.318909    -0.214895     0.0508482
-0.416311     2.94584    -0.902709   -0.272599  -1.24129     0.492028    -1.60645      0.628275     -0.637962  -0.969512    0.344213    0.441052    -1.11481      0.584152
-0.262864    -0.487722   -0.437258   -0.272599  -0.144217   -0.302931     1.11749      0.18062      -0.637962  -0.601276    1.17647     0.219901     0.0542384   -0.87427
-0.407636    -0.487722    0.401721    3.6684    -0.0405575  -0.475315     0.897019    -0.430562     -0.523001  -0.785394   -0.950402    0.441052     0.738286    -0.112408
-0.415066    -0.487722   -1.12741    -0.272599  -0.567496    0.188576    -0.0880089   -0.334062     -0.867883  -0.82103    -0.303094    0.3893      -0.538697     0.00731319
 0.243762    -0.487722    1.016      -0.272599  -0.196047    0.662987     0.224924    -0.220259      1.66125    1.53093     0.806576    0.399058    -0.688683     0.127034
-0.416969     1.87285    -1.07342    -0.272599  -0.610687    0.839645    -1.43931      1.26941      -0.523001  -0.227101   -0.395567    0.34314     -1.12743      0.943315
-0.403671    -0.487722   -0.164408   -0.272599  -0.0664725  -0.78874     -0.120013    -0.492408     -0.408041   0.141134   -0.303094    0.381844     0.134137    -0.35185
-0.415421     2.94584    -1.13325    -0.272599  -1.35358    -0.708959    -1.33263      1.33886      -0.637962  -0.423098   -1.08911     0.441052    -0.338248    -0.340967
-0.390064    -0.487722   -0.180458   -0.272599  -0.0923875  -0.37274      0.776113    -0.45685      -0.637962  -0.619094   -0.0256767   0.434473    -0.130791    -0.340967
 0.970271    -0.487722    1.016      -0.272599   0.901021   -0.963973     1.11749     -1.1931        1.66125    1.53093     0.806576   -0.269548    -0.0733198    0.584152
 1.3586      -0.487722    1.016      -0.272599   1.00468     0.519097     0.879239    -1.16472       1.66125    1.53093     0.806576    0.0695795    1.48401     -0.939573
-0.359197    -0.487722   -0.720322   -0.272599  -0.437921    3.47669      0.512965    -0.428138     -0.17812   -0.601276   -0.488039    0.277683    -1.12462      2.98946
-0.416508     3.05314    -1.32876    -0.272599  -1.20673    -0.174712    -1.07304      1.17652      -0.867883  -0.357765   -1.73642     0.406733    -0.732137     0.170569
-0.144873    -0.487722    1.23194    -0.272599   2.73235    -1.93559      0.964584    -1.10963      -0.523001  -0.0311049  -1.73642     0.384147     2.3657      -0.863387
-0.39101     -0.487722   -0.180458   -0.272599  -0.0923875  -0.825781     0.324494     0.0712851    -0.637962  -0.619094   -0.0256767   0.435789    -0.161629    -0.689247
-0.169727    -0.487722    1.23194    -0.272599   2.73235    -0.93548      1.11749     -1.0831       -0.523001  -0.0311049  -1.73642    -2.05476      0.560266    -0.754549
